# Image list with two lines of data per image:
#   IMAGE_ID, QW, QX, QY, QZ, TX, TY, TZ, CAMERA_ID, NAME
#   POINTS2D[] as (X, Y, POINT3D_ID)
70 0.091379 0.15462 -0.84034 0.511441 56.9951 -7.85548 31.0901 70 00000000.png

71 0.091379 0.15462 -0.84034 0.511441 56.9951 -7.85548 31.0901 71 00000000.png

72 0.091379 0.15462 -0.84034 0.511441 56.9951 -7.85548 31.0901 72 00000000.png

73 0.091379 0.15462 -0.84034 0.511441 56.9951 -7.85548 31.0901 73 00000000.png

74 0.091379 0.15462 -0.84034 0.511441 56.9951 -7.85548 31.0901 74 00000000.png

75 0.091379 0.15462 -0.84034 0.511441 56.9951 -7.85548 31.0901 75 00000000.png

76 0.091379 0.15462 -0.84034 0.511441 56.9951 -7.85548 31.0901 76 00000000.png

77 0.091379 0.15462 -0.84034 0.511441 56.9951 -7.85548 31.0901 77 00000000.png

78 0.091379 0.15462 -0.84034 0.511441 56.9951 -7.85548 31.0901 78 00000000.png

79 0.091379 0.15462 -0.84034 0.511441 56.9951 -7.85548 31.0901 79 00000000.png

80 0.091379 0.15462 -0.84034 0.511441 56.9951 -7.85548 31.0901 80 00000000.png

81 0.091379 0.15462 -0.84034 0.511441 56.9951 -7.85548 31.0901 81 00000000.png

82 0.091379 0.15462 -0.84034 0.511441 56.9951 -7.85548 31.0901 82 00000000.png

83 0.091379 0.15462 -0.84034 0.511441 56.9951 -7.85548 31.0901 83 00000000.png

84 0.091379 0.15462 -0.84034 0.511441 56.9951 -7.85548 31.0901 84 00000000.png

85 0.091379 0.15462 -0.84034 0.511441 56.9951 -7.85548 31.0901 85 00000000.png

86 0.091379 0.15462 -0.84034 0.511441 56.9951 -7.85548 31.0901 86 00000000.png

87 0.091379 0.15462 -0.84034 0.511441 56.9951 -7.85548 31.0901 87 00000000.png

88 0.091379 0.15462 -0.84034 0.511441 56.9951 -7.85548 31.0901 88 00000000.png

89 0.091379 0.15462 -0.84034 0.511441 56.9951 -7.85548 31.0901 89 00000000.png

90 0.091379 0.15462 -0.84034 0.511441 56.9951 -7.85548 31.0901 90 00000000.png

91 0.091379 0.15462 -0.84034 0.511441 56.9951 -7.85548 31.0901 91 00000000.png

92 0.091379 0.15462 -0.84034 0.511441 56.9951 -7.85548 31.0901 92 00000000.png

93 0.091379 0.15462 -0.84034 0.511441 56.9951 -7.85548 31.0901 93 00000000.png

94 0.091379 0.15462 -0.84034 0.511441 56.9951 -7.85548 31.0901 94 00000000.png

95 0.091379 0.15462 -0.84034 0.511441 56.9951 -7.85548 31.0901 95 00000000.png

96 0.091379 0.15462 -0.84034 0.511441 56.9951 -7.85548 31.0901 96 00000000.png

97 0.091379 0.15462 -0.84034 0.511441 56.9951 -7.85548 31.0901 97 00000000.png

98 0.091379 0.15462 -0.84034 0.511441 56.9951 -7.85548 31.0901 98 00000000.png

99 0.091379 0.15462 -0.84034 0.511441 56.9951 -7.85548 31.0901 99 00000000.png

100 0.091379 0.15462 -0.84034 0.511441 56.9951 -7.85548 31.0901 100 00000000.png

101 0.091379 0.15462 -0.84034 0.511441 56.9951 -7.85548 31.0901 101 00000000.png

102 0.091379 0.15462 -0.84034 0.511441 56.9951 -7.85548 31.0901 102 00000000.png

103 0.091379 0.15462 -0.84034 0.511441 56.9951 -7.85548 31.0901 103 00000000.png

104 0.091379 0.15462 -0.84034 0.511441 56.9951 -7.85548 31.0901 104 00000000.png

105 0.091379 0.15462 -0.84034 0.511441 56.9951 -7.85548 31.0901 105 00000000.png

106 0.091379 0.15462 -0.84034 0.511441 56.9951 -7.85548 31.0901 106 00000000.png

107 0.091379 0.15462 -0.84034 0.511441 56.9951 -7.85548 31.0901 107 00000000.png

108 0.091379 0.15462 -0.84034 0.511441 56.9951 -7.85548 31.0901 108 00000000.png

109 0.091379 0.15462 -0.84034 0.511441 56.9951 -7.85548 31.0901 109 00000000.png

110 0.091379 0.15462 -0.84034 0.511441 56.9951 -7.85548 31.0901 110 00000000.png

111 0.091379 0.15462 -0.84034 0.511441 56.9951 -7.85548 31.0901 111 00000000.png

112 0.091379 0.15462 -0.84034 0.511441 56.9951 -7.85548 31.0901 112 00000000.png

113 0.091379 0.15462 -0.84034 0.511441 56.9951 -7.85548 31.0901 113 00000000.png

